tx,minute,value,account,side,type,token
f80629d933019d93e83cf8db14f82a4fb47646445fade55a7b851d0b431d232c,02/19/20 0:37,65.68,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
7d0bb92d30b88ba223a8651b5830dcfea830a5c02a0559b24b8254ded58d1e6c,02/19/20 0:38,51.28,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
822c6bb6d7871d39170ff53b5f0f9f9cd4a3ff213e1d5429df8479617f02c553,02/19/20 0:41,71.79,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
c48667760716fdd724018b6fb90fcd25075c653dcea8a53522e418b2032877a6,02/19/20 0:44,127.05,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
49ec4e6f990e6b86333a86cd01e8cfb4518b7d64b62236297fd7ecf2a58a6a2a,02/19/20 0:44,26.79,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
f0c9eae1fae8abce3c565eb077138a492c6d71f969c052e9113d1df34d85216e,02/19/20 0:45,23.17,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
67ddbe0f3232c3f63bc30961bf7a58eca6b45208064659eaf5e1af9311ff8da5,02/19/20 0:46,53.92,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
19fd933c66725a8ab062f532394c253f114b1a8fd1a9f229d0333a6fe3fea8d1,02/19/20 0:50,280.00,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,ocDAI
b2b677840acfbb51737988bbce07492a8ec62d9b77b4306566d78b32a750a01e,02/19/20 0:53,45.55,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
b225e7f5c229f7b5beb0349fafd4e9bf9fcefec622685d0403a78dd7f7fdacb9,02/19/20 0:55,159.00,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
9ef43d03ceed00bc013366088e1a867b0a10de0fd46fd4c8d9fde9ee7ef5e026,02/19/20 0:57,16.03,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
f45026aefe96f87621c86d734a155c8d776d1cced6fb8634815a0bdcb35edca4,02/19/20 0:58,57.30,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
c8140965a62116fda389e9e7a840de0a82324c6f2b0e5c640e3c5adbf7aadf4a,02/19/20 1:01,36.55,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
75d9df918e84d64a4893d38588ba6846a2ea72092c781fd7204f5711359c6f1d,02/19/20 1:07,16.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
4390b617d64c081ba04ef093b803bebef6d6731f9b873fd2caab6630a57e34fe,02/19/20 1:10,22.22,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
5cd451a51c2e8896cbb1d3a4478929242747988e082a8ff10daf579843ba81ba,02/19/20 1:12,2.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
a8cb7c9b1002dd87dc0141292a2d75aea34a84613989617203299aaa7044de84,02/19/20 1:14,6.60,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
0922fa863fd7d9e0ddcd52c2ffd568211350be64c4ec1c761e4e760eaebed50f,02/19/20 1:23,36.27,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
dcd53b20df98a24518f2eee62adfa23e54f0de324f02a2037ac25b7467a4e4e0,02/19/20 1:35,160.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
cd069aead361636c832ff638a6827f92751dae49eb33a0a5384ef56a697f6d19,02/19/20 1:35,73.85,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
e7d6dafa90ba2f84b3baf95e0a1e1b8547c094c1f018f7af64be045b16afa9b4,02/19/20 1:38,42.47,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
44a2ee9882f6f0822b23cebe86eb4d518b9e49361b4a07a33f8fbe8de5a7e247,02/19/20 1:39,27.59,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
21797edd22620ca377b9fc187f0b677ae9b3705219b42c43d800ad2b00863cd0,02/19/20 1:52,30.00,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,sell,put,ocDAI
b2cdda96824b1320585e9c4d9ea5f9d8e93e637eec5654d173caaa1f2e08995f,02/19/20 2:13,26.39,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
a3bf2136d3db59e71e32fff012a4eaddde78f41097176d23f01e2a4128df9dd2,02/19/20 2:28,40.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
0b032935ee4851f8c0f07a2d2f90083bbe454c559214248ef97b4e2c1fdb7d3c,02/19/20 6:10,5.38,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocUSDC
