address,collateral,collateral_token,collateral_value_current,issued,notional_value,ratio,oToken,oToken_group,expired
0x57dc…2482,0.000015,USDC,0.000015,0,0,1,ETH Put $150 04/24/20,oETH,1
0x004a…312d,1000,USDC,1000,10,1000,1,ETH Put $100 04/24/20,oETH,1
0x3dcd…dd15,1000,USDC,1000,10,1000,1,ETH Put $100 04/24/20,oETH,1
0xd3e9…151d,100.000041,USDC,100.000041,1,100,1,ETH Put $100 04/24/20,oETH,1
0x9cbb…773d,100,USDC,100,1,100,1,ETH Put $100 04/24/20,oETH,1
0xcbf5…1a94,100,USDC,100,1,100,1,ETH Put $100 04/24/20,oETH,1
0xe086…a7ab,25,USDC,25,0.25,25,1,ETH Put $100 04/24/20,oETH,1
0x5294…94a3,12.120495,USDC,12.120495,0.121205,12.1205,1,ETH Put $100 04/24/20,oETH,1
0x8628…a40d,11.428962,USDC,11.428962,0.11429,11.429,1,ETH Put $100 04/24/20,oETH,1
0x5aac…4146,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0x632d…507d,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0x64e4…5cc3,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0xd18a…f139,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0xd425…f37a,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0xf558…059d,10,USDC,10,0.1,10,1,ETH Put $100 04/24/20,oETH,1
0xe5a8…c729,5,USDC,5,0.05,5,1,ETH Put $100 04/24/20,oETH,1
0xac36…a9c8,3.590267,USDC,3.590267,0.035903,3.5903,1,ETH Put $100 04/24/20,oETH,1
0x2fed…3831,3,USDC,3,0.03,3,1,ETH Put $100 04/24/20,oETH,1
0xb25f…59f6,1,USDC,1,0.01,1,1,ETH Put $100 04/24/20,oETH,1
0x75b3…b236,0.1,USDC,0.1,0.001,0.1,1,ETH Put $100 04/24/20,oETH,1
0x8453…2e61,0.003673,USDC,0.003673,0.000037,0.0037,1,ETH Put $100 04/24/20,oETH,1
0xfdaa…3733,1,USDC,1,0.01,1,1,ETH Put $100 04/03/20,oETH,1
0xfb33…22fe,0.1,USDC,0.1,0.001,0.1,1,ETH Put $100 04/03/20,oETH,1
0xc759…35c2,0.047,USDC,0.047,0.00047,0.047,1,ETH Put $100 04/03/20,oETH,1
0xa271…d25f,0.04,USDC,0.04,0.0004,0.04,1,ETH Put $100 04/03/20,oETH,1
0x75b3…b236,0.01,USDC,0.01,0.0001,0.01,1,ETH Put $100 04/03/20,oETH,1
0x4ec7…3df0,100,USDC,100,1,100,1,ETH Put $100 04/03/20,oETH,1
